Hour	 Total_subsurface_storage	 Total_surface_storage	 Total_surface_runoff	 ET	
2184	 2497764822.688417	 671.0547012411894	 1011.2963963049806	 0	
2185	 2495196400.6814876	 670.8235596032439	 1010.8198936787711	 0	
2186	 2492791043.4063063	 670.7695061704565	 1010.7159531334939	 0	
2187	 2490519779.734011	 670.7513240161636	 1010.701641417731	 0	
2188	 2488368737.4045095	 670.7895822162999	 1010.7919284734816	 0	
2189	 2486319901.2336574	 670.8484944757677	 1010.9225141442736	 0	
2190	 2484358724.358021	 670.879251804011	 1011.004226406306	 0	
2191	 2482481137.694259	 670.9114695111266	 1011.0838543111375	 0	
2192	 2480678330.6822085	 670.9536649459659	 1011.176325104734	 0	
2193	 2478943217.8296943	 670.9764465949958	 1011.2256411878345	 0	
2194	 2477256837.3699675	 670.3336416569638	 1010.1054705674964	 0	
2195	 2475602606.6227474	 670.0118207659276	 1009.4745702094667	 0	
2196	 2473964810.472638	 669.8365152005663	 1009.1433934083794	 0	
2197	 2472418570.7147126	 707.9441699001969	 1077.8059863914111	 0	
2198	 2470949887.3730764	 729.999912492353	 1123.3896047140001	 0	
2199	 2469515113.8326287	 729.9007434611669	 1126.0406261481075	 0	
2200	 2468299338.7105317	 692.669021462152	 1057.0969901039275	 0	
2201	 2467114108.157119	 681.6487180661339	 1032.8501185569862	 0	
2202	 2465946472.158053	 678.4036257260645	 1025.4439575750512	 0	
2203	 2464791352.3374662	 677.3955170181457	 1023.2549815759859	 0	
2204	 2463648669.092585	 677.0844721538679	 1022.6444286835165	 0	
2205	 2462514166.441834	 676.8867068497257	 1022.3064776051092	 0	
2206	 2461397662.477602	 676.8470391151296	 1022.2437362968418	 0	
2207	 2460294400.326839	 676.8103339290252	 1022.191282671543	 0	
2208	 2459206999.543834	 676.7844766584166	 1022.1534824407638	 0	
2209	 2458132182.9721136	 676.7577391329011	 1022.1125159912243	 0	
2210	 2457064385.415301	 676.6685421414722	 1021.959848296336	 0	
2211	 2456001095.192323	 676.5105583289686	 1021.678207684427	 0	
